date,first_boot,last_shutdown,total_span,total_span_minutes
2024-12-30,09:01:40,18:00:19,8.58,538
2024-12-31,09:11:28,17:09:20,7.57,477
2025-01-02,09:08:55,18:09:07,9.00,540
2025-01-03,09:19:10,18:33:15,9.14,554
2025-01-06,09:23:07,18:37:11,9.14,554
2025-01-07,09:36:13,,,
2025-01-08,,18:14:07,,
2025-01-09,09:05:21,17:59:04,8.53,533
2025-01-10,09:16:20,18:28:36,9.12,552
2025-01-13,09:17:04,18:18:47,9.01,541
2025-01-14,09:19:32,18:17:05,8.57,537
2025-01-15,09:19:23,18:12:35,8.53,533
2025-01-16,09:18:57,18:51:31,9.32,572
2025-01-17,09:20:22,18:13:09,8.52,532
2025-01-20,09:45:41,18:24:01,8.38,518
2025-01-21,09:15:02,19:13:18,9.58,598
2025-01-22,09:16:46,18:28:16,9.11,551
2025-01-23,09:21:04,18:17:16,8.56,536
2025-01-24,09:11:26,,,
2025-01-31,,18:21:46,,
2025-02-03,09:27:07,18:36:09,9.09,549
2025-02-04,09:51:45,18:48:40,8.56,536
2025-02-05,09:35:42,18:44:16,9.08,548
2025-02-06,09:49:57,18:41:16,8.51,531
2025-02-07,09:40:34,18:44:01,9.03,543
2025-02-10,09:47:32,18:56:53,9.09,549
2025-02-11,09:41:32,18:47:00,9.05,545
2025-02-12,09:16:49,18:11:10,8.54,534
2025-02-13,09:16:51,18:18:43,9.01,541
2025-02-14,09:13:45,18:42:34,9.28,568
2025-02-17,09:25:48,18:22:50,8.57,537
2025-02-18,09:42:33,18:48:17,9.05,545
2025-02-19,09:11:19,18:13:09,9.01,541
2025-02-20,09:21:14,18:22:39,9.01,541
2025-02-21,09:24:32,18:15:38,8.51,531
2025-02-24,09:18:11,18:21:19,9.03,543
2025-02-25,09:16:17,18:19:42,9.03,543
2025-02-26,09:33:18,18:42:59,9.09,549
2025-02-27,09:21:37,19:28:20,10.06,606
2025-02-28,09:28:00,,,
2025-03-06,,19:04:46,,
2025-03-07,09:49:25,19:00:55,9.11,551
2025-03-10,09:16:48,18:18:41,9.01,541
2025-03-11,10:49:36,18:43:31,7.53,473
2025-03-12,08:50:57,18:11:29,9.20,560
2025-03-13,09:03:24,18:04:47,9.01,541
2025-03-14,09:03:50,18:14:36,9.10,550
2025-03-17,08:58:18,18:02:16,9.03,543
2025-03-18,09:10:02,18:15:02,9.05,545
2025-03-19,09:02:54,18:23:46,9.20,560
2025-03-20,09:46:54,18:48:28,9.01,541
2025-03-21,09:07:48,18:04:01,8.56,536
2025-03-24,09:01:48,18:11:27,9.09,549
2025-03-25,09:02:43,18:04:36,9.01,541
2025-03-26,09:43:35,18:42:05,8.58,538
